Symbol,Security Name
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares
AACBR,Artius II Acquisition Inc. - Rights
AACBU,Artius II Acquisition Inc. - Units
AAL,"American Airlines Group, Inc. - Common Stock"
AAME,Atlantic American Corporation - Common Stock
AAOI,"Applied Optoelectronics, Inc. - Common Stock"
AAON,"AAON, Inc. - Common Stock"
AAPD,Direxion Daily AAPL Bear 1X Shares
AAPG,Ascentage Pharma Group International - American Depository Shares
AAPL,Apple Inc. - Common Stock
AAPU,Direxion Daily AAPL Bull 2X Shares
AARD,"Aardvark Therapeutics, Inc. - Common Stock"
ABAT,American Battery Technology Company - Common Stock
ABCL,AbCellera Biologics Inc. - Common Shares
ABEO,Abeona Therapeutics Inc. - Common Stock
ABL,"Abacus Global Management, Inc. - Class A Common Stock"
ABLV,Able View Global Inc. - Class B Ordinary Shares
ABNB,"Airbnb, Inc. - Class A Common Stock"
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock"
ABP,"Abpro Holdings, Inc - Common Stock"
ABSI,Absci Corporation - Common Stock
ABTC,American Bitcoin Corp. - Class A Common Stock
ABTS,Abits Group Inc - Ordinary Shares
ABUS,Arbutus Biopharma Corporation - Common Stock
ABVC,"ABVC BioPharma, Inc. - Common Stock"
ABVE,Above Food Ingredients Inc. - Common Stock
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock
ACB,Aurora Cannabis Inc. - Common Shares
ACCL,Acco Group Holdings Limited - Ordinary Shares
ACDC,ProFrac Holding Corp. - Class A Common Stock
ACET,"Adicet Bio, Inc. - Common Stock"
ACFN,"Acorn Energy, Inc. - Common Stock"
ACGL,Arch Capital Group Ltd. - Common Stock
ACHC,"Acadia Healthcare Company, Inc. - Common Stock"
ACHV,"Achieve Life Sciences, Inc.  - Common Shares"
ACIC,American Coastal Insurance Corporation - Common Stock
ACIU,AC Immune SA - Common Stock
ACIW,"ACI Worldwide, Inc. - Common Stock"
ACLS,"Axcelis Technologies, Inc. - Common Stock"
ACLX,"Arcellx, Inc. - Common Stock"
ACMR,"ACM Research, Inc. - Class A Common Stock"
ACNB,ACNB Corporation - Common Stock
ACNT,Ascent Industries Co. - Common Stock
ACOG,Alpha Cognition Inc. - Common Stock
ACON,"Aclarion, Inc. - Common Stock"
ACRS,"Aclaris Therapeutics, Inc. - Common Stock"
ACRV,"Acrivon Therapeutics, Inc. - Common Stock"
ACT,"Enact Holdings, Inc. - Common Stock"
ACTG,Acacia Research Corporation - Common Stock
ACTU,"Actuate Therapeutics, Inc. - Common stock"
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock"
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares"
ADBE,Adobe Inc. - Common Stock
ADEA,Adeia Inc.  - Common Stock
ADGM,"Adagio Medical Holdings, Inc - Common Stock"
ADI,"Analog Devices, Inc. - Common Stock"
ADIL,"Adial Pharmaceuticals, Inc - Common Stock"
ADMA,ADMA Biologics Inc - Common Stock
ADP,"Automatic Data Processing, Inc. - Common Stock"
ADPT,Adaptive Biotechnologies Corporation - Common Stock
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares
ADSK,"Autodesk, Inc. - Common Stock"
