symbol,strategy,holding_hours,total_trades,wins,losses,win_rate,is_significant,p_value,ci_lower,ci_upper
RNDR,momentum,24,296,145,151,0.48986486486486486,False,0.6579117553089886,0.43341092694488303,0.5465785074764914
RNDR,momentum,48,295,147,148,0.49830508474576274,False,0.5463369457007277,0.44163731285122093,0.5550164328120336
RNDR,momentum,72,294,141,153,0.47959183673469385,False,0.7757993438193049,0.42311680452070466,0.5365933232787701
RNDR,momentum,168,292,145,147,0.4965753424657534,False,0.5696616888081827,0.4396445417879065,0.5535950837414307
RNDR,mean_reversion,24,238,123,115,0.5168067226890757,False,0.3250528084419864,0.45355738320407607,0.5795221200741028
RNDR,mean_reversion,48,237,124,113,0.5232067510548524,False,0.2580281820007009,0.45975544899043774,0.5859177237504841
RNDR,mean_reversion,72,236,125,111,0.5296610169491526,False,0.1987369605494147,0.46601597102402453,0.5923558877360905
RNDR,mean_reversion,168,235,120,115,0.5106382978723404,False,0.397106238222732,0.4470693648356917,0.5738650117553209
RNDR,ghost_inverse,24,167,74,93,0.4431137724550898,False,0.9392759893852007,0.36989158463283006,0.518894284850949
RNDR,ghost_inverse,48,166,74,92,0.4457831325301205,False,0.929968240864286,0.3722451697584374,0.5217737278496867
RNDR,ghost_inverse,72,165,77,88,0.4666666666666667,False,0.8248828173084632,0.3921690859511836,0.5426810931515966
RNDR,ghost_inverse,168,163,67,96,0.4110429447852761,False,0.990745486304219,0.338402899936514,0.48777953897560383
RNDR,rsi,24,78,36,42,0.46153846153846156,False,0.7858964821412097,0.35532213417762043,0.5713655161126965
RNDR,rsi,48,78,35,43,0.44871794871794873,False,0.8459158840281596,0.3433419189622355,0.5589082814248538
RNDR,rsi,72,78,35,43,0.44871794871794873,False,0.8459158840281596,0.3433419189622355,0.5589082814248538
RNDR,rsi,168,76,36,40,0.47368421052631576,False,0.7167132788006575,0.36541913011833066,0.5844816734727798
RNDR,volume_spike,24,0,0,0,0.0,False,1.0,0.0,1.0
RNDR,volume_spike,48,0,0,0,0.0,False,1.0,0.0,1.0
RNDR,volume_spike,72,0,0,0,0.0,False,1.0,0.0,1.0
RNDR,volume_spike,168,0,0,0,0.0,False,1.0,0.0,1.0
TURBO,momentum,24,303,154,149,0.5082508250825083,False,0.4091493010094101,0.4522090594954885,0.5640859930658332
TURBO,momentum,48,302,163,139,0.5397350993377483,False,0.09278890880118328,0.4833736228431964,0.5950983705023785
TURBO,momentum,72,301,164,137,0.5448504983388704,False,0.06691972362230729,0.48837949483774357,0.6001910939532875
TURBO,momentum,168,298,157,141,0.5268456375838926,False,0.1924602127236223,0.47017683646701836,0.5828310988208941
TURBO,mean_reversion,24,251,122,129,0.4860557768924303,False,0.6931607542809197,0.42490044611856254,0.5476315109873419
TURBO,mean_reversion,48,250,115,135,0.46,False,0.9079924461764265,0.3992896616885708,0.5219210460913992
TURBO,mean_reversion,72,249,112,137,0.4497991967871486,False,0.9503882670200127,0.3892372446775685,0.5118866210154187
TURBO,mean_reversion,168,247,117,130,0.47368421052631576,False,0.8134643034740784,0.4122951005028114,0.5358793649765987
TURBO,ghost_inverse,24,168,78,90,0.4642857142857143,False,0.8420625441935051,0.3905120734985114,0.5396561744693847
TURBO,ghost_inverse,48,167,71,96,0.4251497005988024,False,0.9780488073209941,0.3526813872783688,0.5009842304634459
TURBO,ghost_inverse,72,166,68,98,0.40963855421686746,False,0.9920656079704057,0.337694768567887,0.4856700607789867
TURBO,ghost_inverse,168,164,61,103,0.3719512195121951,False,0.9996318763107984,0.3017016756889651,0.44806238757067973
TURBO,rsi,24,77,40,37,0.5194805194805194,False,0.4099464518745244,0.40963811196379796,0.6274714949712452
TURBO,rsi,48,77,38,39,0.4935064935064935,False,0.5900535481254756,0.38482830636471144,0.6028018246569409
TURBO,rsi,72,77,46,31,0.5974025974025974,False,0.05500779949256667,0.48576649330491517,0.6997815413703016
TURBO,rsi,168,77,44,33,0.5714285714285714,False,0.12715233307385,0.4601033109180365,0.6759652478437891
TURBO,volume_spike,24,0,0,0,0.0,False,1.0,0.0,1.0
TURBO,volume_spike,48,0,0,0,0.0,False,1.0,0.0,1.0
TURBO,volume_spike,72,0,0,0,0.0,False,1.0,0.0,1.0
TURBO,volume_spike,168,0,0,0,0.0,False,1.0,0.0,1.0
CHZ,momentum,24,268,119,149,0.44402985074626866,False,0.970964007170937,0.3857505490688337,0.5038910657539161
CHZ,momentum,48,268,116,152,0.43283582089552236,False,0.9881833782413227,0.3748774828957975,0.49269245489150215
CHZ,momentum,72,267,123,144,0.4606741573033708,False,0.9109645596556505,0.40186563684299814,0.5205982682587292
CHZ,momentum,168,263,128,135,0.4866920152091255,False,0.6890580010071189,0.426911727564888,0.5468554811461974
CHZ,mean_reversion,24,206,113,93,0.5485436893203883,False,0.09271935507048223,0.4803167816218965,0.6149932045772175
CHZ,mean_reversion,48,206,118,88,0.5728155339805825,True,0.021533499238936233,0.5045385115058835,0.6384264677927874
CHZ,mean_reversion,72,205,108,97,0.526829268292683,False,0.24250015734110367,0.4586179269739873,0.5940535714247993
CHZ,mean_reversion,168,203,104,99,0.5123152709359606,False,0.38949404070870475,0.44396604708469745,0.5802070399538867
CHZ,ghost_inverse,24,134,71,63,0.5298507462686567,False,0.27276718323993715,0.445692493208826,0.6123451383915037
CHZ,ghost_inverse,48,134,72,62,0.5373134328358209,False,0.2184952745429863,0.4530287219201312,0.6195183175802808
CHZ,ghost_inverse,72,133,63,70,0.47368421052631576,False,0.7559888280845672,0.39076033835480756,0.558085626614909
CHZ,ghost_inverse,168,131,56,75,0.42748091603053434,False,0.9599150296447112,0.34601929472299015,0.513074634746847
CHZ,rsi,24,93,48,45,0.5161290322580645,False,0.4179230673157429,0.4159537133977669,0.6150247090983505
CHZ,rsi,48,93,49,44,0.5268817204301075,False,0.33926600682666247,0.42636839646712893,0.6252623076930667
CHZ,rsi,72,93,48,45,0.5161290322580645,False,0.4179230673157429,0.4159537133977669,0.6150247090983505
CHZ,rsi,168,92,49,43,0.532608695652174,False,0.3012061388480754,0.43140275849037324,0.6312005369470985
CHZ,volume_spike,24,0,0,0,0.0,False,1.0,0.0,1.0
