app-1  | {"ts":"2025-10-15T15:07:11.661617+00:00","level":"warning","logger":"ghost","service":"ghost-wol","msg":"Polygon intraday fetch failed: 403 Client Error: Forbidden for url: https://api.polygon.io/v2/aggs/ticker/WOLF/range/1/minute/1760539031453/1760540831453?adjusted=true&sort=desc&limit=30&apiKey=8VIvELVXiLG30K2l1348RzSurffLM0jR","trace_id":"-","path":"-","method":"-","name":"ghost","component":"provider","provider":"polygon_intraday","error":"403 Client Error: Forbidden for url: https://api.polygon.io/v2/aggs/ticker/WOLF/range/1/minute/1760539031453/1760540831453?adjusted=true&sort=desc&limit=30&apiKey=8VIvELVXiLG30K2l1348RzSurffLM0jR"}
app-1  | {"ts":"2025-10-15T15:07:12.596854+00:00","level":"warning","logger":"ghost","service":"ghost-wol","msg":"provider_error","trace_id":"-","path":"-","method":"-","name":"ghost","component":"provider","provider":"polygon","error":"429 Client Error: Too Many Requests for url: https://api.polygon.io/v2/aggs/ticker/WOLF/prev?adjusted=true&limit=1&apiKey=8VIvELVXiLG30K2l1348RzSurffLM0jR"}
app-1  | {"ts":"2025-10-15T15:07:13.513477+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"Failed to get ticker 'WOLF' reason: Expecting value: line 1 column 1 (char 0)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.555735+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"WOLF: No price data found, symbol may be delisted (period=2d)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.666277+00:00","level":"warning","logger":"ghost","service":"ghost-wol","msg":"orders_init_error","trace_id":"-","path":"-","method":"-","name":"ghost","component":"orders","error":"unrecognized token: \"{\""}
app-1  | {"ts":"2025-10-15T15:07:13.722360+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"Failed to get ticker 'DXY' reason: Expecting value: line 1 column 1 (char 0)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.767196+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"DXY: No price data found, symbol may be delisted (period=5d)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.813782+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"Failed to get ticker 'TLT' reason: Expecting value: line 1 column 1 (char 0)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.859270+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"TLT: No price data found, symbol may be delisted (period=5d)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.901645+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"Failed to get ticker '^VIX' reason: Expecting value: line 1 column 1 (char 0)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:13.947406+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"^VIX: No price data found, symbol may be delisted (period=5d)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:17.523287+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"Failed to get ticker 'SPY' reason: Expecting value: line 1 column 1 (char 0)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
app-1  | {"ts":"2025-10-15T15:07:17.567656+00:00","level":"error","logger":"yfinance","service":"ghost-wol","msg":"SPY: No price data found, symbol may be delisted (period=5d)","trace_id":"-","path":"-","method":"-","name":"yfinance"}
